Z_SCORE	ID_STUDY	GENE_NAME
-0.211	377	ARFIP1
0.014	377	ARFIP2
-0.114	377	ARFRP1
-0.279	377	ARG1
-0.194	377	ARG2
-0.163	377	ARGFX
-0.075	377	ARGLU1
-0.156	377	ARHGAP1
-0.193	377	ARHGAP10
-0.214	377	ARHGAP11A
-0.202	377	ARHGAP11B
-0.062	377	ARHGAP12
-0.237	377	ARHGAP15
-0.094	377	ARHGAP17
-0.219	377	ARHGAP18
-0.069	377	ARHGAP19
-0.266	377	ARHGAP20
-0.065	377	ARHGAP21
-0.289	377	ARHGAP22
-0.376	377	ARHGAP24
0.033	377	ARHGAP25
-0.387	377	ARHGAP26
-0.3670000000000001	377	ARHGAP28
-0.28800000000000003	377	ARHGAP29
-0.157	377	ARHGAP30
-0.241	377	ARHGAP31
-0.218	377	ARHGAP32
-0.14400000000000002	377	ARHGAP33
0.0	377	ARHGAP36
-0.275	377	ARHGAP39
0.019	377	ARHGAP4
-0.16899999999999998	377	ARHGAP5
-0.35	377	ARHGAP6
-0.118	377	ARHGAP9
-0.17800000000000002	377	ARHGDIA
-0.11	377	ARHGDIB
-0.35	377	ARHGDIG
-0.151	377	ARHGEF1
-0.333	377	ARHGEF10
-0.511	377	ARHGEF10L
-0.22	377	ARHGEF11
-0.275	377	ARHGEF12
-0.395	377	ARHGEF15
-0.284	377	ARHGEF16
-0.16899999999999998	377	ARHGEF17
-0.135	377	ARHGEF18
-0.093	377	ARHGEF19
-0.058	377	ARHGEF2
-0.09	377	ARHGEF3
-0.312	377	ARHGEF33
-0.265	377	ARHGEF35
-0.359	377	ARHGEF37
-0.154	377	ARHGEF38
-0.33	377	ARHGEF4
-0.365	377	ARHGEF5
-0.279	377	ARHGEF6
-0.243	377	ARHGEF7
-0.043	377	ARHGEF9_ENST00000253401
-0.07200000000000001	377	ARID1A
-0.15	377	ARID1B
-0.123	377	ARID2
-0.173	377	ARID3A
-0.252	377	ARID3B
-0.532	377	ARID3C
-0.14800000000000002	377	ARID4A
-0.135	377	ARID4B
-0.19	377	ARID5A
-0.269	377	ARID5B
-0.191	377	ARIH1
-0.052000000000000005	377	ARIH2
0.028	377	ARL1
-0.379	377	ARL10
-0.048	377	ARL11
-0.445	377	ARL13A_ENST00000450049
-0.16699999999999998	377	ARL13B
-0.303	377	ARL14
-0.16899999999999998	377	ARL15_ENST00000504924
-0.215	377	ARL16
-0.181	377	ARL2
-0.077	377	ARL2BP
-0.205	377	ARL3
-0.251	377	ARL4A
-0.257	377	ARL4C
-0.239	377	ARL4D
-0.269	377	ARL5A
-0.21600000000000005	377	ARL5B
-0.443	377	ARL5C
-0.192	377	ARL6
-0.093	377	ARL6IP1
-0.131	377	ARL6IP4
-0.254	377	ARL6IP5
-0.268	377	ARL6IP6
-0.14400000000000002	377	ARL8A
-0.157	377	ARL8B
-0.339	377	ARL9
-0.018000000000000002	377	ARMC1
-0.204	377	ARMC10
-0.157	377	ARMC2
-0.452	377	ARMC3
-0.333	377	ARMC4
-0.306	377	ARMC5
0.028	377	ARMC6
-0.13	377	ARMC7
-0.108	377	ARMC8
-0.282	377	ARMC9
-0.28	377	ARMCX1
-0.354	377	ARMCX2
-0.046	377	ARMCX3
-0.038	377	ARMCX5
-0.039	377	ARMCX6
-0.135	377	ARMS2
-0.073	377	ARNT
-0.179	377	ARNT2
-0.265	377	ARNTL
-0.202	377	ARNTL2
-0.14800000000000002	377	ARPC1A
-0.206	377	ARPC1B
-0.101	377	ARPC2
-0.222	377	ARPC3
-0.201	377	ARPC4
-0.243	377	ARPC5
-0.165	377	ARPC5L
-0.212	377	ARPP19
-0.414	377	ARPP21
-0.299	377	ARR3
-0.057	377	ARRB1
-0.334	377	ARRB2
-0.14800000000000002	377	ARRDC1
-0.059	377	ARRDC2
-0.276	377	ARRDC3
-0.261	377	ARRDC4
-0.237	377	ARRDC5
-0.182	377	ARSA
-0.135	377	ARSB
-0.6829999999999999	377	ARSD
-0.36	377	ARSE
-0.221	377	ARSF
-0.309	377	ARSG
-0.156	377	ARSH
-0.121	377	ARSI
-0.277	377	ARSJ
-0.116	377	ARSK
-0.382	377	ART1
-0.298	377	ART3
-0.331	377	ART4
-0.363	377	ART5
-0.392	377	ARTN
-0.115	377	ARV1
-0.265	377	ARVCF
-0.574	377	ARX
-0.348	377	AS3MT
-0.311	377	ASAH1
